date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-05-01,CEG,232.2,243.98,230.31,240.62,240.29,4557800,4557800,8.42,3.63,236.7775,"May 01, 25",0.0363
2025-04-30,CEG,219.55,223.88,216.75,223.44,223.14,2185227,2185227,3.89,1.77,220.905,"April 30, 25",0.0177
2025-04-29,CEG,224.31,227.36,220.5,226.45,226.14,2038928,2038928,2.14,0.95404,224.655,"April 29, 25",0.0095404
2025-04-28,CEG,222.34,225.49,219.69,224.82,224.51,2396738,2396738,2.48,1.12,223.085,"April 28, 25",0.0112
2025-04-25,CEG,218.11,223.95,216.5,222.99,222.69,2710833,2710833,4.88,2.24,220.3875,"April 25, 25",0.0224
2025-04-24,CEG,209.57,220.19,209.57,218.07,217.77,2336500,2336500,8.5,4.06,214.35,"April 24, 25",0.0406
2025-04-23,CEG,213.25,217.34,208.27,209.8,209.51,2976100,2976100,-3.45,-1.62,212.165,"April 23, 25",-0.0162
2025-04-22,CEG,197.55,202.42,195.85,200.88,200.61,2457830,2457830,3.33,1.69,199.175,"April 22, 25",0.0169
2025-04-21,CEG,203.49,204.87,188.01,192.61,192.35,3290911,3290911,-10.88,-5.35,197.245,"April 21, 25",-0.0535
2025-04-17,CEG,208.35,208.82,203.6,206.68,206.4,1963104,1963104,-1.67,-0.80154,206.8625,"April 17, 25",-0.0080154
2025-04-16,CEG,205.05,207.4,201.44,204.19,204.19,2433624,2433624,-0.86,-0.41941,204.52,"April 16, 25",-0.0041941
2025-04-15,CEG,206.6,212.0,206.35,208.42,208.42,1986000,1986000,1.82,0.88093,208.3425,"April 15, 25",0.0088093
2025-04-14,CEG,214.97,217.21,203.87,206.7,206.7,3427483,3427483,-8.27,-3.85,210.6875,"April 14, 25",-0.0385
2025-04-11,CEG,204.49,208.53,198.0,208.25,208.25,2960744,2960744,3.76,1.84,204.8175,"April 11, 25",0.0184
2025-04-10,CEG,209.0,211.48,199.55,204.49,204.49,4048640,4048640,-4.51,-2.16,206.13,"April 10, 25",-0.0216
2025-04-09,CEG,186.13,217.9,182.61,215.45,215.45,7984335,7984335,29.32,15.75,200.5225,"April 09, 25",0.1575
2025-04-08,CEG,188.94,193.3,181.99,184.94,184.94,6895731,6895731,-4.0,-2.12,187.2925,"April 08, 25",-0.0212
2025-04-07,CEG,161.53,189.79,161.35,179.79,179.79,7458413,7458413,18.26,11.3,173.115,"April 07, 25",0.113
2025-04-04,CEG,180.07,182.99,165.08,170.96,170.96,9358600,9358600,-9.11,-5.06,174.775,"April 04, 25",-0.0506
2025-04-03,CEG,200.47,204.05,189.78,190.24,190.24,5557506,5557506,-10.23,-5.1,196.135,"April 03, 25",-0.051
2025-04-02,CEG,202.83,215.34,202.27,214.46,214.46,3179100,3179100,11.63,5.73,208.725,"April 02, 25",0.0573
2025-04-01,CEG,200.95,207.76,198.09,206.94,206.94,2863111,2863111,5.99,2.98,203.435,"April 01, 25",0.0298
