date,symbol,metric,value,statement_type
2024-12-31,CEG,revenue,23568000000.0,income_statement
2024-12-31,CEG,costOfRevenue,17578000000.0,income_statement
2024-12-31,CEG,grossProfit,5990000000.0,income_statement
2024-12-31,CEG,grossProfitRatio,0.2541581806,income_statement
2024-12-31,CEG,researchAndDevelopmentExpenses,0.0,income_statement
2024-12-31,CEG,generalAndAdministrativeExpenses,0.0,income_statement
2024-12-31,CEG,sellingAndMarketingExpenses,0.0,income_statement
2024-12-31,CEG,sellingGeneralAndAdministrativeExpenses,0.0,income_statement
2024-12-31,CEG,otherExpenses,1638000000.0,income_statement
2024-12-31,CEG,operatingExpenses,1638000000.0,income_statement
2024-12-31,CEG,costAndExpenses,19216000000.0,income_statement
2024-12-31,CEG,interestIncome,0.0,income_statement
2024-12-31,CEG,interestExpense,506000000.0,income_statement
2024-12-31,CEG,depreciationAndAmortization,2700000000.0,income_statement
2024-12-31,CEG,ebitda,7722000000.0,income_statement
2024-12-31,CEG,ebitdaratio,0.3276476578,income_statement
2024-12-31,CEG,operatingIncome,4352000000.0,income_statement
2024-12-31,CEG,operatingIncomeRatio,0.1846571623,income_statement
2024-12-31,CEG,totalOtherIncomeExpensesNet,164000000.0,income_statement
2024-12-31,CEG,incomeBeforeTax,4516000000.0,income_statement
2024-12-31,CEG,incomeBeforeTaxRatio,0.1916157502,income_statement
2024-12-31,CEG,incomeTaxExpense,774000000.0,income_statement
2024-12-31,CEG,netIncome,3749000000.0,income_statement
2024-12-31,CEG,netIncomeRatio,0.1590716225,income_statement
2024-12-31,CEG,eps,11.9,income_statement
2024-12-31,CEG,epsdiluted,11.9,income_statement
2024-12-31,CEG,weightedAverageShsOut,315000000.0,income_statement
2024-12-31,CEG,weightedAverageShsOutDil,315000000.0,income_statement
2024-12-31,CEG,netIncome,3738000000.0,cashflow
2024-12-31,CEG,depreciationAndAmortization,2700000000.0,cashflow
2024-12-31,CEG,deferredIncomeTax,0.0,cashflow
2024-12-31,CEG,stockBasedCompensation,0.0,cashflow
2024-12-31,CEG,changeInWorkingCapital,-9168000000.0,cashflow
2024-12-31,CEG,accountsReceivables,688000000.0,cashflow
2024-12-31,CEG,inventory,-99000000.0,cashflow
2024-12-31,CEG,accountsPayables,1121000000.0,cashflow
2024-12-31,CEG,otherWorkingCapital,-10878000000.0,cashflow
2024-12-31,CEG,otherNonCashItems,0.0,cashflow
2024-12-31,CEG,netCashProvidedByOperatingActivities,-2464000000.0,cashflow
2024-12-31,CEG,investmentsInPropertyPlantAndEquipment,-2565000000.0,cashflow
2024-12-31,CEG,acquisitionsNet,0.0,cashflow
2024-12-31,CEG,purchasesOfInvestments,-6282000000.0,cashflow
2024-12-31,CEG,salesMaturitiesOfInvestments,6005000000.0,cashflow
2024-12-31,CEG,otherInvestingActivites,10270000000.0,cashflow
2024-12-31,CEG,netCashUsedForInvestingActivites,7428000000.0,cashflow
2024-12-31,CEG,debtRepayment,-845000000.0,cashflow
2024-12-31,CEG,commonStockIssued,0.0,cashflow
2024-12-31,CEG,commonStockRepurchased,-999000000.0,cashflow
2024-12-31,CEG,dividendsPaid,-444000000.0,cashflow
2024-12-31,CEG,otherFinancingActivites,-1000000.0,cashflow
2024-12-31,CEG,netCashUsedProvidedByFinancingActivities,-2289000000.0,cashflow
2024-12-31,CEG,effectOfForexChangesOnCash,0.0,cashflow
2024-12-31,CEG,netChangeInCash,2675000000.0,cashflow
2024-12-31,CEG,cashAtEndOfPeriod,3129000000.0,cashflow
2024-12-31,CEG,cashAtBeginningOfPeriod,454000000.0,cashflow
2024-12-31,CEG,operatingCashFlow,-2464000000.0,cashflow
2024-12-31,CEG,capitalExpenditure,-2565000000.0,cashflow
2024-12-31,CEG,freeCashFlow,-5029000000.0,cashflow
2024-12-31,CEG,cashAndCashEquivalents,3022000000.0,balance_sheet
2024-12-31,CEG,shortTermInvestments,0.0,balance_sheet
2024-12-31,CEG,cashAndShortTermInvestments,3022000000.0,balance_sheet
2024-12-31,CEG,netReceivables,3718000000.0,balance_sheet
2024-12-31,CEG,inventory,1600000000.0,balance_sheet
2024-12-31,CEG,otherCurrentAssets,2436000000.0,balance_sheet
2024-12-31,CEG,totalCurrentAssets,10776000000.0,balance_sheet
2024-12-31,CEG,propertyPlantEquipmentNet,21671000000.0,balance_sheet
2024-12-31,CEG,goodwill,420000000.0,balance_sheet
2024-12-31,CEG,intangibleAssets,0.0,balance_sheet
2024-12-31,CEG,goodwillAndIntangibleAssets,420000000.0,balance_sheet
2024-12-31,CEG,longTermInvestments,640000000.0,balance_sheet
2024-12-31,CEG,taxAssets,0.0,balance_sheet
2024-12-31,CEG,otherNonCurrentAssets,19855000000.0,balance_sheet
2024-12-31,CEG,totalNonCurrentAssets,42150000000.0,balance_sheet
2024-12-31,CEG,otherAssets,0.0,balance_sheet
2024-12-31,CEG,totalAssets,52926000000.0,balance_sheet
2024-12-31,CEG,accountPayables,0.0,balance_sheet
2024-12-31,CEG,shortTermDebt,1028000000.0,balance_sheet
2024-12-31,CEG,taxPayables,0.0,balance_sheet
2024-12-31,CEG,deferredRevenue,0.0,balance_sheet
2024-12-31,CEG,otherCurrentLiabilities,5818000000.0,balance_sheet
2024-12-31,CEG,totalCurrentLiabilities,6846000000.0,balance_sheet
2024-12-31,CEG,longTermDebt,7384000000.0,balance_sheet
2024-12-31,CEG,deferredRevenueNonCurrent,0.0,balance_sheet
2024-12-31,CEG,deferredTaxLiabilitiesNonCurrent,3331000000.0,balance_sheet
2024-12-31,CEG,otherNonCurrentLiabilities,21826000000.0,balance_sheet
2024-12-31,CEG,totalNonCurrentLiabilities,32541000000.0,balance_sheet
2024-12-31,CEG,otherLiabilities,0.0,balance_sheet
2024-12-31,CEG,capitalLeaseObligations,0.0,balance_sheet
2024-12-31,CEG,totalLiabilities,39387000000.0,balance_sheet
2024-12-31,CEG,preferredStock,0.0,balance_sheet
2024-12-31,CEG,commonStock,11402000000.0,balance_sheet
