date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-05-01,AAPL,209.08,214.56,208.9,213.32,213.04,57365700,57365700,4.24,2.03,211.465,"May 01, 25",0.0203
2025-04-30,AAPL,209.3,213.58,206.67,212.5,212.22,52286500,52286500,3.2,1.53,210.5125,"April 30, 25",0.0153
2025-04-29,AAPL,208.69,212.24,208.37,211.21,210.93,36827633,36827633,2.52,1.21,210.1275,"April 29, 25",0.0121
2025-04-28,AAPL,210.0,211.5,207.46,210.14,209.86,38743100,38743100,0.14,0.06666667,209.775,"April 28, 25",0.0006666667
2025-04-25,AAPL,206.37,209.75,206.2,209.28,209.01,38222300,38222300,2.91,1.41,207.9,"April 25, 25",0.0141
2025-04-24,AAPL,204.89,208.83,202.94,208.37,208.1,47311000,47311000,3.48,1.7,206.2575,"April 24, 25",0.017
2025-04-23,AAPL,206.0,208.0,202.8,204.6,204.33,52929200,52929200,-1.4,-0.67961,205.35,"April 23, 25",-0.0067961
2025-04-22,AAPL,196.12,201.59,195.97,199.74,199.48,52976400,52976400,3.62,1.85,198.355,"April 22, 25",0.0185
2025-04-21,AAPL,193.27,193.8,189.81,193.16,192.91,46742537,46742537,-0.105,-0.0569152,192.51,"April 21, 25",-0.000569152
2025-04-17,AAPL,197.2,198.83,194.42,196.98,196.72,52164675,52164675,-0.22,-0.11156,196.8575,"April 17, 25",-0.0011156
2025-04-16,AAPL,198.36,200.7,192.37,194.27,194.02,59732423,59732423,-4.09,-2.06,196.425,"April 16, 25",-0.0206
2025-04-15,AAPL,201.86,203.51,199.8,202.14,201.88,51343900,51343900,0.285,0.13871,201.8275,"April 15, 25",0.0013871
2025-04-14,AAPL,211.44,212.94,201.16,202.52,202.25,101352911,101352911,-8.92,-4.22,207.015,"April 14, 25",-0.0422
2025-04-11,AAPL,186.1,199.54,186.06,198.15,197.89,87435915,87435915,12.05,6.48,192.4625,"April 11, 25",0.0648
2025-04-10,AAPL,189.07,194.78,183.0,190.42,190.17,121880000,121880000,1.35,0.71402,189.3175,"April 10, 25",0.0071402
