date,symbol,metric,value,statement_type
2024-09-28,AAPL,revenue,391035000000.0,income_statement
2024-06-30,MSFT,revenue,245122000000.0,income_statement
2024-09-28,AAPL,costOfRevenue,210352000000.0,income_statement
2024-06-30,MSFT,costOfRevenue,74114000000.0,income_statement
2024-09-28,AAPL,grossProfit,180683000000.0,income_statement
2024-06-30,MSFT,grossProfit,171008000000.0,income_statement
2024-09-28,AAPL,grossProfitRatio,0.4620634982,income_statement
2024-06-30,MSFT,grossProfitRatio,0.6976444383,income_statement
2024-09-28,AAPL,researchAndDevelopmentExpenses,31370000000.0,income_statement
2024-06-30,MSFT,researchAndDevelopmentExpenses,29510000000.0,income_statement
2024-09-28,AAPL,generalAndAdministrativeExpenses,0.0,income_statement
2024-06-30,MSFT,generalAndAdministrativeExpenses,7609000000.0,income_statement
2024-09-28,AAPL,sellingAndMarketingExpenses,0.0,income_statement
2024-06-30,MSFT,sellingAndMarketingExpenses,24456000000.0,income_statement
2024-09-28,AAPL,sellingGeneralAndAdministrativeExpenses,26097000000.0,income_statement
2024-06-30,MSFT,sellingGeneralAndAdministrativeExpenses,32065000000.0,income_statement
2024-09-28,AAPL,otherExpenses,0.0,income_statement
2024-06-30,MSFT,otherExpenses,0.0,income_statement
2024-09-28,AAPL,operatingExpenses,57467000000.0,income_statement
2024-06-30,MSFT,operatingExpenses,61575000000.0,income_statement
2024-09-28,AAPL,costAndExpenses,267819000000.0,income_statement
2024-06-30,MSFT,costAndExpenses,135689000000.0,income_statement
2024-09-28,AAPL,interestIncome,0.0,income_statement
2024-06-30,MSFT,interestIncome,3157000000.0,income_statement
2024-09-28,AAPL,interestExpense,0.0,income_statement
2024-06-30,MSFT,interestExpense,2935000000.0,income_statement
2024-09-28,AAPL,depreciationAndAmortization,11445000000.0,income_statement
2024-06-30,MSFT,depreciationAndAmortization,22287000000.0,income_statement
2024-09-28,AAPL,ebitda,134661000000.0,income_statement
2024-06-30,MSFT,ebitda,133009000000.0,income_statement
2024-09-28,AAPL,ebitdaratio,0.3443707085,income_statement
2024-06-30,MSFT,ebitdaratio,0.5426236731,income_statement
2024-09-28,AAPL,operatingIncome,123216000000.0,income_statement
2024-06-30,MSFT,operatingIncome,109433000000.0,income_statement
2024-09-28,AAPL,operatingIncomeRatio,0.3151022287,income_statement
2024-06-30,MSFT,operatingIncomeRatio,0.4464429957,income_statement
2024-09-28,AAPL,totalOtherIncomeExpensesNet,269000000.0,income_statement
2024-06-30,MSFT,totalOtherIncomeExpensesNet,-1646000000.0,income_statement
2024-09-28,AAPL,incomeBeforeTax,123485000000.0,income_statement
2024-06-30,MSFT,incomeBeforeTax,107787000000.0,income_statement
2024-09-28,AAPL,incomeBeforeTaxRatio,0.3157901467,income_statement
2024-06-30,MSFT,incomeBeforeTaxRatio,0.4397279722,income_statement
2024-09-28,AAPL,incomeTaxExpense,29749000000.0,income_statement
2024-06-30,MSFT,incomeTaxExpense,19651000000.0,income_statement
2024-09-28,AAPL,netIncome,93736000000.0,income_statement
2024-06-30,MSFT,netIncome,88136000000.0,income_statement
2024-09-28,AAPL,netIncomeRatio,0.2397125577,income_statement
2024-06-30,MSFT,netIncomeRatio,0.3595597294,income_statement
2024-09-28,AAPL,eps,6.11,income_statement
2024-06-30,MSFT,eps,11.86,income_statement
2024-09-28,AAPL,epsdiluted,6.08,income_statement
2024-06-30,MSFT,epsdiluted,11.8,income_statement
2024-09-28,AAPL,weightedAverageShsOut,15343783000.0,income_statement
2024-06-30,MSFT,weightedAverageShsOut,7431000000.0,income_statement
2024-09-28,AAPL,weightedAverageShsOutDil,15408095000.0,income_statement
2024-06-30,MSFT,weightedAverageShsOutDil,7469000000.0,income_statement
2024-09-28,AAPL,netIncome,93736000000.0,cashflow
2024-06-30,MSFT,netIncome,88136000000.0,cashflow
2024-09-28,AAPL,depreciationAndAmortization,11445000000.0,cashflow
2024-06-30,MSFT,depreciationAndAmortization,22287000000.0,cashflow
2024-09-28,AAPL,deferredIncomeTax,0.0,cashflow
2024-06-30,MSFT,deferredIncomeTax,-4738000000.0,cashflow
2024-09-28,AAPL,stockBasedCompensation,11688000000.0,cashflow
2024-06-30,MSFT,stockBasedCompensation,10734000000.0,cashflow
2024-09-28,AAPL,changeInWorkingCapital,3651000000.0,cashflow
2024-06-30,MSFT,changeInWorkingCapital,1824000000.0,cashflow
2024-09-28,AAPL,accountsReceivables,-5144000000.0,cashflow
2024-06-30,MSFT,accountsReceivables,-7191000000.0,cashflow
2024-09-28,AAPL,inventory,-1046000000.0,cashflow
2024-06-30,MSFT,inventory,1284000000.0,cashflow
2024-09-28,AAPL,accountsPayables,6020000000.0,cashflow
2024-06-30,MSFT,accountsPayables,3545000000.0,cashflow
2024-09-28,AAPL,otherWorkingCapital,3821000000.0,cashflow
2024-06-30,MSFT,otherWorkingCapital,4186000000.0,cashflow
2024-09-28,AAPL,otherNonCashItems,-2266000000.0,cashflow
2024-06-30,MSFT,otherNonCashItems,305000000.0,cashflow
2024-09-28,AAPL,netCashProvidedByOperatingActivities,118254000000.0,cashflow
2024-06-30,MSFT,netCashProvidedByOperatingActivities,118548000000.0,cashflow
2024-09-28,AAPL,investmentsInPropertyPlantAndEquipment,-9447000000.0,cashflow
2024-06-30,MSFT,investmentsInPropertyPlantAndEquipment,-44477000000.0,cashflow
2024-09-28,AAPL,acquisitionsNet,0.0,cashflow
2024-06-30,MSFT,acquisitionsNet,-69132000000.0,cashflow
2024-09-28,AAPL,purchasesOfInvestments,-48656000000.0,cashflow
2024-06-30,MSFT,purchasesOfInvestments,-17732000000.0,cashflow
2024-09-28,AAPL,salesMaturitiesOfInvestments,62346000000.0,cashflow
2024-06-30,MSFT,salesMaturitiesOfInvestments,35669000000.0,cashflow
2024-09-28,AAPL,otherInvestingActivites,-1308000000.0,cashflow
2024-06-30,MSFT,otherInvestingActivites,-1298000000.0,cashflow
2024-09-28,AAPL,netCashUsedForInvestingActivites,2935000000.0,cashflow
2024-06-30,MSFT,netCashUsedForInvestingActivites,-96970000000.0,cashflow
2024-09-28,AAPL,debtRepayment,-5998000000.0,cashflow
2024-06-30,MSFT,debtRepayment,575000000.0,cashflow
2024-09-28,AAPL,commonStockIssued,0.0,cashflow
2024-06-30,MSFT,commonStockIssued,2002000000.0,cashflow
2024-09-28,AAPL,commonStockRepurchased,-94949000000.0,cashflow
2024-06-30,MSFT,commonStockRepurchased,-17254000000.0,cashflow
2024-09-28,AAPL,dividendsPaid,-15234000000.0,cashflow
2024-06-30,MSFT,dividendsPaid,-21771000000.0,cashflow
2024-09-28,AAPL,otherFinancingActivites,-5802000000.0,cashflow
2024-06-30,MSFT,otherFinancingActivites,-1309000000.0,cashflow
2024-09-28,AAPL,netCashUsedProvidedByFinancingActivities,-121983000000.0,cashflow
2024-06-30,MSFT,netCashUsedProvidedByFinancingActivities,-37757000000.0,cashflow
2024-09-28,AAPL,effectOfForexChangesOnCash,0.0,cashflow
2024-06-30,MSFT,effectOfForexChangesOnCash,-210000000.0,cashflow
2024-09-28,AAPL,netChangeInCash,-794000000.0,cashflow
2024-06-30,MSFT,netChangeInCash,-16389000000.0,cashflow
2024-09-28,AAPL,cashAtEndOfPeriod,29943000000.0,cashflow
2024-06-30,MSFT,cashAtEndOfPeriod,18315000000.0,cashflow
2024-09-28,AAPL,cashAtBeginningOfPeriod,30737000000.0,cashflow
2024-06-30,MSFT,cashAtBeginningOfPeriod,34704000000.0,cashflow
2024-09-28,AAPL,operatingCashFlow,118254000000.0,cashflow
2024-06-30,MSFT,operatingCashFlow,118548000000.0,cashflow
2024-09-28,AAPL,capitalExpenditure,-9447000000.0,cashflow
2024-06-30,MSFT,capitalExpenditure,-44477000000.0,cashflow
2024-09-28,AAPL,freeCashFlow,108807000000.0,cashflow
2024-06-30,MSFT,freeCashFlow,74071000000.0,cashflow
2024-09-28,AAPL,cashAndCashEquivalents,29943000000.0,balance_sheet
2024-06-30,MSFT,cashAndCashEquivalents,18315000000.0,balance_sheet
2024-09-28,AAPL,shortTermInvestments,35228000000.0,balance_sheet
2024-06-30,MSFT,shortTermInvestments,57216000000.0,balance_sheet
2024-09-28,AAPL,cashAndShortTermInvestments,65171000000.0,balance_sheet
2024-06-30,MSFT,cashAndShortTermInvestments,75531000000.0,balance_sheet
2024-09-28,AAPL,netReceivables,66243000000.0,balance_sheet
2024-06-30,MSFT,netReceivables,56924000000.0,balance_sheet
2024-09-28,AAPL,inventory,7286000000.0,balance_sheet
2024-06-30,MSFT,inventory,1246000000.0,balance_sheet
2024-09-28,AAPL,otherCurrentAssets,14287000000.0,balance_sheet
2024-06-30,MSFT,otherCurrentAssets,26033000000.0,balance_sheet
2024-09-28,AAPL,totalCurrentAssets,152987000000.0,balance_sheet
2024-06-30,MSFT,totalCurrentAssets,159734000000.0,balance_sheet
2024-09-28,AAPL,propertyPlantEquipmentNet,45680000000.0,balance_sheet
2024-06-30,MSFT,propertyPlantEquipmentNet,154552000000.0,balance_sheet
2024-09-28,AAPL,goodwill,0.0,balance_sheet
2024-06-30,MSFT,goodwill,119220000000.0,balance_sheet
2024-09-28,AAPL,intangibleAssets,0.0,balance_sheet
2024-06-30,MSFT,intangibleAssets,27597000000.0,balance_sheet
2024-09-28,AAPL,goodwillAndIntangibleAssets,0.0,balance_sheet
2024-06-30,MSFT,goodwillAndIntangibleAssets,146817000000.0,balance_sheet
2024-09-28,AAPL,longTermInvestments,91479000000.0,balance_sheet
2024-06-30,MSFT,longTermInvestments,14600000000.0,balance_sheet
2024-09-28,AAPL,taxAssets,19499000000.0,balance_sheet
2024-06-30,MSFT,taxAssets,0.0,balance_sheet
2024-09-28,AAPL,otherNonCurrentAssets,55335000000.0,balance_sheet
2024-06-30,MSFT,otherNonCurrentAssets,36460000000.0,balance_sheet
2024-09-28,AAPL,totalNonCurrentAssets,211993000000.0,balance_sheet
2024-06-30,MSFT,totalNonCurrentAssets,352429000000.0,balance_sheet
2024-09-28,AAPL,otherAssets,0.0,balance_sheet
2024-06-30,MSFT,otherAssets,0.0,balance_sheet
2024-09-28,AAPL,totalAssets,364980000000.0,balance_sheet
2024-06-30,MSFT,totalAssets,512163000000.0,balance_sheet
2024-09-28,AAPL,accountPayables,68960000000.0,balance_sheet
2024-06-30,MSFT,accountPayables,21996000000.0,balance_sheet
2024-09-28,AAPL,shortTermDebt,22511000000.0,balance_sheet
2024-06-30,MSFT,shortTermDebt,8942000000.0,balance_sheet
2024-09-28,AAPL,taxPayables,26601000000.0,balance_sheet
2024-06-30,MSFT,taxPayables,5017000000.0,balance_sheet
2024-09-28,AAPL,deferredRevenue,8249000000.0,balance_sheet
2024-06-30,MSFT,deferredRevenue,57582000000.0,balance_sheet
2024-09-28,AAPL,otherCurrentLiabilities,50071000000.0,balance_sheet
2024-06-30,MSFT,otherCurrentLiabilities,31749000000.0,balance_sheet
2024-09-28,AAPL,totalCurrentLiabilities,176392000000.0,balance_sheet
2024-06-30,MSFT,totalCurrentLiabilities,125286000000.0,balance_sheet
2024-09-28,AAPL,longTermDebt,96548000000.0,balance_sheet
2024-06-30,MSFT,longTermDebt,58185000000.0,balance_sheet
2024-09-28,AAPL,deferredRevenueNonCurrent,0.0,balance_sheet
2024-06-30,MSFT,deferredRevenueNonCurrent,2602000000.0,balance_sheet
2024-09-28,AAPL,deferredTaxLiabilitiesNonCurrent,0.0,balance_sheet
2024-06-30,MSFT,deferredTaxLiabilitiesNonCurrent,2618000000.0,balance_sheet
2024-09-28,AAPL,otherNonCurrentLiabilities,35090000000.0,balance_sheet
2024-06-30,MSFT,otherNonCurrentLiabilities,54995000000.0,balance_sheet
2024-09-28,AAPL,totalNonCurrentLiabilities,131638000000.0,balance_sheet
2024-06-30,MSFT,totalNonCurrentLiabilities,118400000000.0,balance_sheet
2024-09-28,AAPL,otherLiabilities,0.0,balance_sheet
2024-06-30,MSFT,otherLiabilities,0.0,balance_sheet
2024-09-28,AAPL,capitalLeaseObligations,12430000000.0,balance_sheet
2024-06-30,MSFT,capitalLeaseObligations,15497000000.0,balance_sheet
2024-09-28,AAPL,totalLiabilities,308030000000.0,balance_sheet
2024-06-30,MSFT,totalLiabilities,243686000000.0,balance_sheet
2024-09-28,AAPL,preferredStock,0.0,balance_sheet
2024-06-30,MSFT,preferredStock,0.0,balance_sheet
2024-09-28,AAPL,commonStock,83276000000.0,balance_sheet
2024-06-30,MSFT,commonStock,100923000000.0,balance_sheet
2024-09-28,AAPL,retainedEarnings,-19154000000.0,balance_sheet
2024-06-30,MSFT,retainedEarnings,173144000000.0,balance_sheet
2024-09-28,AAPL,accumulatedOtherComprehensiveIncomeLoss,-7172000000.0,balance_sheet
2024-06-30,MSFT,accumulatedOtherComprehensiveIncomeLoss,-5590000000.0,balance_sheet
2024-09-28,AAPL,othertotalStockholdersEquity,0.0,balance_sheet
2024-06-30,MSFT,othertotalStockholdersEquity,0.0,balance_sheet
2024-09-28,AAPL,totalStockholdersEquity,56950000000.0,balance_sheet
2024-06-30,MSFT,totalStockholdersEquity,268477000000.0,balance_sheet
2024-09-28,AAPL,totalEquity,56950000000.0,balance_sheet
2024-06-30,MSFT,totalEquity,268477000000.0,balance_sheet
2024-09-28,AAPL,totalLiabilitiesAndStockholdersEquity,364980000000.0,balance_sheet
2024-06-30,MSFT,totalLiabilitiesAndStockholdersEquity,512163000000.0,balance_sheet
2024-09-28,AAPL,minorityInterest,0.0,balance_sheet
2024-06-30,MSFT,minorityInterest,0.0,balance_sheet
2024-09-28,AAPL,totalLiabilitiesAndTotalEquity,364980000000.0,balance_sheet
2024-06-30,MSFT,totalLiabilitiesAndTotalEquity,512163000000.0,balance_sheet
2024-09-28,AAPL,totalInvestments,126707000000.0,balance_sheet
2024-06-30,MSFT,totalInvestments,71816000000.0,balance_sheet
2024-09-28,AAPL,totalDebt,106629000000.0,balance_sheet
2024-06-30,MSFT,totalDebt,67127000000.0,balance_sheet
2024-09-28,AAPL,netDebt,76686000000.0,balance_sheet
2024-06-30,MSFT,netDebt,48812000000.0,balance_sheet
